Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature,Album_Fearless,Album_Lover,Album_Midnights,Album_Red,Album_Speak Now,Album_Taylor Swift,Album_evermore,Album_folklore,Album_reputation,Song Name_22,Song Name_A Perfectly Good Heart,Song Name_A Place in this World,Song Name_Afterglow,Song Name_All Too Well,Song Name_All You Had To Do Was Stay,Song Name_Anti-Hero,Song Name_Back To December,Song Name_Bad Blood,Song Name_Begin Again,Song Name_Bejeweled,Song Name_Better Than Revenge,Song Name_Blank Space,Song Name_Breathe,Song Name_Call It What You Want,Song Name_Change,Song Name_Clean,Song Name_Cold As You,Song Name_Cornelia Street,Song Name_Cruel Summer,Song Name_Dancing With Our Hands Tied,Song Name_Daylight,Song Name_Dear John,Song Name_Death By A Thousand Cuts,Song Name_Delicate,Song Name_Don’t Blame Me,Song Name_Dress,Song Name_Enchanted,Song Name_End Game,Song Name_Everything Has Changed,Song Name_False God,Song Name_Fearless,Song Name_Fifteen,Song Name_Forever & Always,Song Name_Getaway Car,Song Name_Gorgeous,Song Name_Haunted,Song Name_Hey Stephen,Song Name_Holy Ground,Song Name_How You Get The Girl,Song Name_I Almost Do,Song Name_I Did Something Bad,Song Name_I Forgot That You Existed,Song Name_I Knew You Were Trouble.,Song Name_I Know Places,Song Name_I Think He Knows,Song Name_I Wish You Would,Song Name_I'm Only Me When I'm With You,Song Name_Innocent,Song Name_Invisible,Song Name_It’s Nice To Have A Friend,Song Name_Karma,Song Name_King Of My Heart,Song Name_Labyrinth,Song Name_Last Kiss,Song Name_Lavender Haze,Song Name_London Boy,Song Name_Long Live,Song Name_Look What You Made Me Do,Song Name_Love Story,Song Name_Lover,Song Name_ME! (feat. Brendon Urie of Panic! At The Disco),Song Name_Maroon,Song Name_Mary's Song (Oh My My My),Song Name_Mastermind,Song Name_Mean,Song Name_Midnight Rain,Song Name_Mine,Song Name_Miss Americana & The Heartbreak Prince,Song Name_Never Grow Up,Song Name_New Year’s Day,Song Name_Our Song,Song Name_Out Of The Woods,Song Name_Paper Rings,Song Name_Picture To Burn,Song Name_Question...?,Song Name_Red,Song Name_Sad Beautiful Tragic,Song Name_Shake It Off,Song Name_Should've Said No,Song Name_Snow On The Beach (feat. Lana Del Rey),Song Name_So It Goes...,Song Name_Soon You’ll Get Better (feat. The Chicks),Song Name_Sparks Fly,Song Name_Speak Now,Song Name_Starlight,Song Name_State Of Grace,Song Name_Stay Beautiful,Song Name_Stay Stay Stay,Song Name_Style,Song Name_Sweet Nothing,Song Name_Teardrops On My Guitar - Radio Single Remix,Song Name_Tell Me Why,Song Name_The Archer,Song Name_The Best Day,Song Name_The Last Time,Song Name_The Lucky One,Song Name_The Man,Song Name_The Outside,Song Name_The Story Of Us,Song Name_The Way I Loved You,Song Name_This Is Why We Can't Have Nice Things,Song Name_This Love,Song Name_Tied Together with a Smile,Song Name_Tim McGraw,Song Name_Treacherous,Song Name_Vigilante Shit,Song Name_We Are Never Ever Getting Back Together,Song Name_Welcome To New York,Song Name_White Horse,Song Name_Wildest Dreams,Song Name_You Belong With Me,Song Name_You Need To Calm Down,Song Name_You're Not Sorry,"Song Name_You're On Your Own, Kid",Song Name_august,Song Name_betty,Song Name_cardigan,Song Name_champagne problems,Song Name_closure,Song Name_coney island (feat. The National),Song Name_cowboy like me,Song Name_dorothea,Song Name_epiphany,Song Name_evermore (feat. Bon Iver),Song Name_exile (feat. Bon Iver),Song Name_gold rush,Song Name_happiness,Song Name_hoax,Song Name_illicit affairs,Song Name_invisible string,Song Name_ivy,Song Name_long story short,Song Name_mad woman,Song Name_marjorie,Song Name_mirrorball,Song Name_my tears ricochet,"Song Name_no body, no crime (feat. HAIM)",Song Name_peace,Song Name_seven,Song Name_the 1,Song Name_the last great american dynasty,Song Name_this is me trying,Song Name_tolerate it,Song Name_willow,Song Name_‘tis the damn season
0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,232107.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.658,0.877,7.0,-2.098,1.0,0.0323,0.173,0.0,0.0962,0.821,105.586,173067.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.621,0.417,10.0,-6.941,1.0,0.0231,0.288,0.0,0.119,0.289,99.953,203040.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.576,0.777,9.0,-2.881,1.0,0.0324,0.051,0.0,0.32,0.428,115.028,199200.0,4.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.418,0.482,5.0,-5.769,1.0,0.0266,0.217,0.0,0.123,0.261,175.558,239013.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.589,0.805,5.0,-4.055,1.0,0.0293,0.00491,0.0,0.24,0.591,112.982,207107.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.479,0.578,2.0,-4.963,1.0,0.0294,0.525,0.0,0.0841,0.192,146.165,248107.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.594,0.629,8.0,-4.919,1.0,0.0246,0.0868,0.0,0.137,0.504,131.597,236053.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.476,0.777,4.0,-3.771,0.0,0.0289,0.0103,0.0,0.196,0.472,167.964,242200.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.403,0.627,2.0,-5.28,1.0,0.0292,0.0177,0.0,0.182,0.374,74.9,213080.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
